Reference;Quantity;Value;Footprint;Datasheet;Manufacturer;MPN;SKU;C;Tol;Vmax;Type;Res;Pwr
A1 ;1;ART;pluggee:pluggeeLabsIcon-13X7;
C1 C2 C3 C4 C5 C6 C7 ;7;CC0603KRX7R9BB104;Main:CAPC0603;;Yageo;CC0603KRX7R9BB104;STUFF;100 nF;±10%;50.0V;X7R;;
J1 ;1;PCIEXPRESS-X1;Main:PCIEXPRESS-X1;;Amphenol FCI;10018784-10200TLF;;;;;;;
J2 J3 ;2;SOCKET254P-01X04-1725672;Main:70553-0038;;Molex;70553-0038;STUFF;;;;;;
J4 J6 ;2;CONN_01X03;Main:CONN254P-01X03;;Amphenol FCI;68001-403HLF;STUFF;;;;;;
R1 R11 R12 R4 R5 R6 R7 R8 ;8;RC0603FR-0710KL;Main:RESC0603;;Yageo;RC0603FR-0710KL;STUFF;;±1%;;;10.0 kΩ;100 mW
R10 R9 ;2;RN732BTTD4000B25;Main:RESC1206;;KOA Speer;RN732BTTD4000B25;STUFF;;±0.1%;;;400 Ω;125 mW
R2 R3 ;2;RC0603FR-071KL;Main:RESC0603;;Yageo;RC0603FR-071KL;STUFF;;±1%;;;1.00 kΩ;100 mW
TP1 TP10 TP11 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9 ;11;TestPoint;Main:TestPoint000;
U1 U2 ;2;MAX31865AAP+;Main:SOP65P720X530X186-20;;Maxim Integrated;MAX31865AAP+;STUFF;;;;;;
U4 ;1;EFM8BB10F2G;Main:QFN50P300X300X75-20NT170X170;;Silicon Labs;EFM8BB10F2G-A-QFN20R;STUFF;;;;;;